entity_id,name,hq,n_assets,lei,cik
E100000130706,Danieli & C Officine Meccaniche SpA,Italy,1,815600B4B8C6A353E566,
E100000000837,Mota-Engil SGPS SA,Portugal,1,549300L6RR1203WN9F57,
E100002009511,Rottneros AB,Sweden,1,213800DM8OBVX8QWUR14,
E100002016964,Société Financière Des Sucres SA,Belgium,1,549300BNBJMO4DUS6P16,
E100000133586,Voltalia SA,France,1,969500KE938Z79ZH1N44,
E100002016804,CropEnergies AG,Germany,1,529900FXN57YQ7H5S098,
E100002016829,LEG Immobilien SE,Germany,1,391200SO40AKONBO0Z96,
E100002010547,Séché Environnement SA,France,1,969500R9ENNIN33POO20,
E100000135814,Ameresco Inc,United States,1,529900NZXZGBCBXYY327,1488139
E100000152701,Romande Energie Holding SA,Switzerland,1,9676008XQ71KDFYUC315,
E100002016729,Webuild SpA,Italy,1,549300UKR289DF4UXQ47,
E100000132909,Svenska Cellulosa SCA AB,Sweden,1,549300FW5JDRV1IJ0M67,
E100002016863,Global Dominion Access SA,Spain,1,95980020140005225955,
E100000120754,LANXESS AG,Germany,1,529900PTLRE72EMYIJ77,
E100002017187,OPAL Fuels Inc,United States,1,529900ATA8EX6J0VUZ84,1842279
E100002016809,Danone SA,France,1,969500KMUQ2B6CBAF162,
E100002007354,Monarch Cement Co,United States,1,549300ZMPJCNSENB3O72,735190
