entity_id,coal_mw,gas_mw,bio_mw,vintage,blank_rule,name,fossil_mw,thermal_mw,fossil_share,coal_share
E100000001309,9508.92,23509.94,0.0,March 2025,zero,Southern,33018.86,33018.86,1.0,0.2879845034019951
E100000001315,0.0,146.0,0.0,March 2025,zero,UGI,146.0,146.0,1.0,0.0
E100000001319,0.0,161.0,0.0,March 2025,zero,United States Steel,161.0,161.0,1.0,0.0
E100000001321,0.0,95.0,0.0,March 2025,zero,Valero Energy,95.0,95.0,1.0,0.0
E100000001322,7971.0,20310.0,0.0,March 2025,zero,Vistra,28281.0,28281.0,1.0,0.2818500053039143
E100000001324,1708.84,4030.81,58.0,March 2025,zero,WEC Energy Group,5739.65,5797.65,0.9899959466335498,0.2977254710653089
E100000001329,5965.26,6185.0,0.0,March 2025,zero,Xcel Energy,12150.26,12150.26,1.0,0.49095739515039183
E100000001366,14782.42,900.0,56.1,March 2025,zero,An Hui Wenergy,15682.42,15738.52,0.9964354971115454,0.9426108980629265
E100000001371,2462.73,555.2,0.0,March 2025,zero,Aboitiz Power,3017.9300000000003,3017.9300000000003,1.0,0.8160328437041282
E100000001379,0.0,345.0,0.0,March 2025,zero,Antin Infrastructure Partners,345.0,345.0,1.0,0.0
E100000001384,0.0,1979.0,0.0,March 2025,zero,Ares Management,1979.0,1979.0,1.0,0.0
E100000001450,0.0,352.11,0.0,March 2025,zero,Doreen Power Generations and Systems,352.11,352.11,1.0,0.0
E100000001454,1825.0,1495.15,318.5,March 2025,zero,E.ON,3320.15,3638.65,0.9124675360367169,0.5496739605138322
E100000001465,225.0,0.0,0.0,March 2025,zero,Elektroprivreda Crne Gore,225.0,225.0,1.0,1.0
E100000001471,3687.3,480.0,0.0,March 2025,zero,En+ Group,4167.3,4167.3,1.0,0.8848175077388237
E100000001492,0.0,1124.42,0.0,March 2025,zero,Gazprom,1124.42,1124.42,1.0,0.0
