entity_id,status
E100001013672,in old vintage only
E100001013683,in old vintage only
E100001013684,in old vintage only
E100001013686,in old vintage only
E100001013688,in old vintage only
E100001013694,in old vintage only
E100001013700,in old vintage only
E100001013718,in old vintage only
E100001013733,in old vintage only
E100001013734,in old vintage only
E100001013736,in old vintage only
E100001013737,in old vintage only
E100001013741,in old vintage only
E100001013746,in old vintage only
E100001013747,in old vintage only
E100001013753,in old vintage only
E100001013762,in old vintage only
E100001013764,in old vintage only
E100001013783,in old vintage only
E100001013798,in old vintage only
E100001013800,in old vintage only
E100001013803,in old vintage only
E100001013804,in old vintage only
E100001013815,in old vintage only
E100001013818,in old vintage only
E100001013823,in old vintage only
E100001014143,in old vintage only
E100001014144,in old vintage only
E100001014208,in old vintage only
E100001014227,in old vintage only
E100001014230,in old vintage only
E100001014231,in old vintage only
E100001014232,in old vintage only
E100001014260,in old vintage only
E100001014290,in old vintage only
E100001014344,in old vintage only
E100001014349,in old vintage only
E100001014369,in old vintage only
E100001014447,in old vintage only
E100001014449,in old vintage only
E100001014470,in old vintage only
E100001014495,in old vintage only
E100001014547,in old vintage only
E100001014584,in old vintage only
E100001014601,in old vintage only
E100001014622,in old vintage only
E100001014647,in old vintage only
E100001014686,in old vintage only
E100001014695,in old vintage only
E100001014754,in old vintage only
E100001014774,in old vintage only
E100001014823,in old vintage only
E100001014827,in old vintage only
E100001014886,in old vintage only
E100001014959,in old vintage only
E100001014986,in old vintage only
E100001015021,in old vintage only
E100001015024,in old vintage only
E100001015065,in old vintage only
E100001015197,in old vintage only
E100001015198,in old vintage only
E100001015209,in old vintage only
E100001015272,in old vintage only
E100001015316,in old vintage only
E100001015365,in old vintage only
E100001015418,in old vintage only
E100001015445,in old vintage only
E100001015457,in old vintage only
E100001015482,in old vintage only
E100001015529,in old vintage only
E100001015560,in old vintage only
E100001015575,in old vintage only
E100001015643,in old vintage only
E100001015658,in old vintage only
E100001015664,in old vintage only
E100001015691,in old vintage only
E100001015692,in old vintage only
E100001015716,in old vintage only
E100001015734,in old vintage only
E100001015757,in old vintage only
E100001015801,in old vintage only
E100001015854,in old vintage only
E100001015889,in old vintage only
E100001015922,in old vintage only
E100001015927,in old vintage only
E100001015954,in old vintage only
E100001015974,in old vintage only
E100001015990,in old vintage only
E100001016032,in old vintage only
E100001016038,in old vintage only
E100001016039,in old vintage only
E100001016040,in old vintage only
E100001016041,in old vintage only
E100001016042,in old vintage only
E100001016043,in old vintage only
E100001016048,in old vintage only
E100001016120,in old vintage only
E100001016123,in old vintage only
E100001016124,in old vintage only
E100001016144,in old vintage only
E100001016145,in old vintage only
E100001016148,in old vintage only
E100001016149,in old vintage only
E100001016195,in old vintage only
E100001016220,in old vintage only
E100001016240,in old vintage only
E100001016247,in old vintage only
E100001016260,in old vintage only
E100001016261,in old vintage only
E100001016262,in old vintage only
E100001016263,in old vintage only
E100001016264,in old vintage only
E100001016278,in old vintage only
E100001016284,in old vintage only
E100001016285,in old vintage only
E100001016306,in old vintage only
E100001016308,in old vintage only
E100001016314,in old vintage only
E100001016320,in old vintage only
E100001016355,in old vintage only
E100001016362,in old vintage only
E100001016365,in old vintage only
E100001016386,in old vintage only
E100001016389,in old vintage only
E100001016397,in old vintage only
E100001016403,in old vintage only
E100001016420,in old vintage only
E100001016423,in old vintage only
E100001016424,in old vintage only
E100001016425,in old vintage only
E100001016426,in old vintage only
E100001016434,in old vintage only
E100001016435,in old vintage only
E100001016469,in old vintage only
E100001016478,in old vintage only
E100001016486,in old vintage only
E100001016497,in old vintage only
E100001016518,in old vintage only
E100001016525,in old vintage only
E100001016561,in old vintage only
E100001016564,in old vintage only
E100001016568,in old vintage only
E100001016575,in old vintage only
E100001016576,in old vintage only
E100001016579,in old vintage only
E100001016580,in old vintage only
E100001016620,in old vintage only
E100001016716,in old vintage only
E100001017111,in old vintage only
E100001017149,in old vintage only
E100001017320,in old vintage only
E100002000008,in old vintage only
E100002000023,in old vintage only
E100002000024,in old vintage only
E100002000067,in old vintage only
